item_code,variable,metric,units,mean,category_1,category_2,
,Rice,paid_for_in_last_30_days,INR,#REF!,Food,,
,Wheat,paid_for_in_last_30_days,INR,#REF!,Food,,
,Sugar,paid_for_in_last_30_days,INR,#REF!,Food,,
,Kerosene,paid_for_in_last_30_days,INR,#REF!,Food,,
,Other cereals,paid_for_in_last_30_days,INR,#REF!,Food,,
CO6T,Cereal products,,INR,194.6471464,Food,,
CO7T,Pulses,,INR,399.0807592,Food,,
CO8T,Meat,,INR,75.03989554,Food,,
CO9T,Sweeteners,,INR,243.1591507,Food,,
CO10T,Edible oil,,INR,65.6747793,Food,,
CO11T,Eggs,,INR,368.187587,Food,,
CO12T,Milk,,INR,133.4866981,Food,,
CO13T,Milk products,,INR,81.24922473,Food,,
CO14T,Vegetables,,INR,470.0842898,Food,,
CO15,Salt/spices,consumed_in_last_30_days,INR,188.4873831,Food,,
CO16,Other Food,consumed_in_last_30_days,INR,87.59071826,Food,,
CO17,Processed foods,consumed_in_last_30_days,INR,82.09665446,Food,,
CO18,Paan/tobac/intox,consumed_in_last_30_days,INR,135.5917295,Leisure,,
CO19,Fruits/nuts,consumed_in_last_30_days,INR,127.6215436,Food,,
CO20,Eating out,consumed_in_last_30_days,INR,87.18546343,Leisure,,
CO21,HH Fuel,consumed_in_last_30_days,INR,295.4128871,Household,Consumables,
CO22,HH Electricity,consumed_in_last_30_days,INR,209.7298137,Services,Infratructure,
CO23,Entertainment,consumed_in_last_30_days,INR,30.73776959,Leisure,,
CO24,"Telephone/Mobile, cable/dish, internet",consumed_in_last_30_days,INR,217.3436778,Services,Connectivity,
CO25,Cosmetics / Toilet articles,consumed_in_last_30_days,INR,122.1852169,Household,Consumables,
CO26,Household items,consumed_in_last_30_days,INR,37.41496583,Household,Consumables,
CO27,"Soap, detergent/washing powder, agarbati, insecticide, etc.",consumed_in_last_30_days,INR,158.3502519,Household,Consumables,
CO28,Transportation,consumed_in_last_30_days,INR,324.8659354,Services,Transportation,
CO29,"Diesel, petrol, CNG, maintenance",consumed_in_last_30_days,INR,304.620657,Household,Consumables,
CO30,House rent / Society charges,consumed_in_last_30_days,INR,117.3683263,Housing,,
CO30A,House loan installment,consumed_in_last_30_days,INR,64.8435932,Housing,,
CO30B,"Other rent - appliances, etc.",consumed_in_last_30_days,INR,7.03508397,Household,"Furnitures, Appliances",
CO31,"Consumer taxes, cesses, and fees",consumed_in_last_30_days,INR,49.42497534,Taxes & Fees,,
CO32,Services servants,consumed_in_last_30_days,INR,87.15863386,Luxury,,
CO33,Medical out-patient,consumed_in_last_30_days,INR,474.3469875,Services,Healthcare,
CO34,Medical in-patient,spent_in_last_365_days,INR,6324.71941,Services,Healthcare,
CO35,School,spent_in_last_365_days,INR,4311.081862,Services,Education,
CO36,Private Tuition fees ,spent_in_last_365_days,INR,910.0338287,Services,Education,
CO37,School books,spent_in_last_365_days,INR,1476.13819,Services,Education,
CO38,Clothing/bedding,spent_in_last_365_days,INR,3433.46602,Clothing,,
CO39,Footwear,spent_in_last_365_days,INR,895.0683536,Clothing,,
CO40,Furniture/fixtures,spent_in_last_365_days,INR,383.3692104,Household,"Furnitures, Appliances",
CO41,Crockery/utensils,spent_in_last_365_days,INR,254.924774,Household,"Furnitures, Appliances",
CO42,HH appliances,spent_in_last_365_days,INR,224.2794757,Household,"Furnitures, Appliances",
CO43,Recreation goods,spent_in_last_365_days,INR,238.5618808,Leisure,,
CO44,Jewellery,spent_in_last_365_days,INR,2565.613382,Luxury,,
CO45,Transport equipment,spent_in_last_365_days,INR,1393.347624,Services,Transportation,
CO46,Therapeutic appliances,spent_in_last_365_days,INR,84.2973247,Services,Healthcare,
CO47,Personal care & household items,spent_in_last_365_days,INR,121.0060187,Products,Hygeine,
CO48,Other personal,spent_in_last_365_days,INR,480.0359206,Products,Hygeine,
CO49,Repair/maintenance,spent_in_last_365_days,INR,1964.514306,Services,,
CO50,Insurance premiums,spent_in_last_365_days,INR,2170.557075,Services,,
CO51,Vacations,spent_in_last_365_days,INR,459.9371927,Leisure,,
CO52,Social functions,spent_in_last_365_days,INR,6411.314131,Leisure,,
